2020-05-07 14:56:17,645 [AUDIT] Token created by 'anonymous': tokenId='41737031-f611-4f79-bf72-e98b50f61235', issuer='jfrou@01e7gh1vnsmkrfkfs5bjywmka9', subject='jfrou@01e7gh1vnsmkrfkfs5bjywmka9', expiry=none, refreshable=false
2020-05-07 14:56:20,089 [AUDIT] Token created by 'anonymous': tokenId='55c00ae4-d5ed-4e08-87f3-c45742037d3d', issuer='jfac@01e7gh1jzpjqf611kj5rvk1nkt', subject='jfac@01e7gh1jzpjqf611kj5rvk1nkt', expiry=1588863500083, refreshable=false
2020-05-07 14:56:20,223 [AUDIT] Token created by 'anonymous': tokenId='c0614e8e-8043-44f9-a6ca-f51fd57fb6e5', issuer='jfac@01e7gh1jzpjqf611kj5rvk1nkt', subject='jfac@01e7gh1jzpjqf611kj5rvk1nkt', expiry=1588863500220, refreshable=false
2020-05-07 14:56:20,449 [AUDIT] Token created by 'anonymous': tokenId='40e92251-4aeb-44ab-9965-6463b1028df8', issuer='jfac@01e7gh1jzpjqf611kj5rvk1nkt', subject='jfac@01e7gh1jzpjqf611kj5rvk1nkt', expiry=1588863500446, refreshable=false
2020-05-07 14:56:20,713 [AUDIT] Token created by 'anonymous': tokenId='b00dd8ff-3fdf-431a-a586-26560443bc1e', issuer='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', subject='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', expiry=none, refreshable=false
2020-05-07 14:56:21,057 [AUDIT] Token created by 'anonymous': tokenId='53423ef9-7604-4b55-a83a-61979b7d7bf4', issuer='jfmd@01e7gh1za6qz2t4vmqtcnbe4vr', subject='jfmd@01e7gh1za6qz2t4vmqtcnbe4vr', expiry=none, refreshable=false
2020-05-07 14:56:23,840 [AUDIT] Token created by 'jfrt@01e7gh2d0pr6jb13k3zmwt0tvb': tokenId='62ddab01-cd1b-4541-a19a-413bc0704160', issuer='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', subject='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', expiry=2534943383829, refreshable=false
2020-05-07 14:59:12,372 [AUDIT] Token created by 'anonymous': tokenId='5cafda17-12d1-42f1-b94c-afcec38b7201', issuer='jfrou@01e7gh1vnsmkrfkfs5bjywmka9', subject='jfrou@01e7gh1vnsmkrfkfs5bjywmka9', expiry=none, refreshable=false
2020-05-07 14:59:18,366 [AUDIT] Token created by 'anonymous': tokenId='6bf002e9-22ba-452d-ba98-f2c7ed5dd287', issuer='jfac@01e7gh1jzpjqf611kj5rvk1nkt', subject='jfac@01e7gh1jzpjqf611kj5rvk1nkt', expiry=1588863678357, refreshable=false
2020-05-07 14:59:19,034 [AUDIT] Token created by 'anonymous': tokenId='f9ef7255-e338-447a-b053-b49f911deedb', issuer='jfmd@01e7gh1za6qz2t4vmqtcnbe4vr', subject='jfmd@01e7gh1za6qz2t4vmqtcnbe4vr', expiry=none, refreshable=false
2020-05-07 14:59:19,054 [AUDIT] Token created by 'anonymous': tokenId='ee63ec5d-4ada-4674-ac36-31d92c662af5', issuer='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', subject='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', expiry=none, refreshable=false
2020-05-07 14:59:21,345 [AUDIT] Token created by 'jfrt@01e7gh2d0pr6jb13k3zmwt0tvb': tokenId='a88179ef-c018-4086-95d7-41fe85ddc5bb', issuer='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', subject='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', expiry=2534943561342, refreshable=false
2020-05-07 14:59:37,770 [AUDIT] Token created by 'anonymous': tokenId='a7b5d1eb-e04e-44e5-9bb8-f937cf2e710e', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-05-07 14:59:37,968 [AUDIT] Token created by 'jffe@000': tokenId='cd3acaa8-d830-4d63-aa6d-7cacba62880f', issuer='jffe@000', subject='jffe@000', expiry=1588864177963, refreshable=false
2020-05-07 15:02:50,041 [AUDIT] Token created by 'anonymous': tokenId='c57ace4c-f8f4-4006-a207-9fe184a1d346', issuer='jfrou@01e7gh1vnsmkrfkfs5bjywmka9', subject='jfrou@01e7gh1vnsmkrfkfs5bjywmka9', expiry=none, refreshable=false
2020-05-07 15:02:54,293 [AUDIT] Token created by 'anonymous': tokenId='735a8e45-53b2-4af1-b0c6-9881cd6170c9', issuer='jfac@01e7gh1jzpjqf611kj5rvk1nkt', subject='jfac@01e7gh1jzpjqf611kj5rvk1nkt', expiry=1588863894281, refreshable=false
2020-05-07 15:02:54,463 [AUDIT] Token created by 'anonymous': tokenId='1e1c11fa-5974-420d-bdab-51ba8d3b780a', issuer='jfac@01e7gh1jzpjqf611kj5rvk1nkt', subject='jfac@01e7gh1jzpjqf611kj5rvk1nkt', expiry=1588863894459, refreshable=false
2020-05-07 15:02:54,697 [AUDIT] Token created by 'anonymous': tokenId='0678939d-4c7c-4f63-b6dd-bd85bf94a7f3', issuer='jfac@01e7gh1jzpjqf611kj5rvk1nkt', subject='jfac@01e7gh1jzpjqf611kj5rvk1nkt', expiry=1588863894694, refreshable=false
2020-05-07 15:02:55,761 [AUDIT] Token created by 'anonymous': tokenId='39f67b11-89d3-474b-8f9d-519614e521ac', issuer='jfmd@01e7gh1za6qz2t4vmqtcnbe4vr', subject='jfmd@01e7gh1za6qz2t4vmqtcnbe4vr', expiry=none, refreshable=false
2020-05-07 15:02:56,431 [AUDIT] Token created by 'anonymous': tokenId='1e6f24eb-7b3d-44f7-a152-9d76c54c2538', issuer='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', subject='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', expiry=none, refreshable=false
2020-05-07 15:02:59,313 [AUDIT] Token created by 'jfrt@01e7gh2d0pr6jb13k3zmwt0tvb': tokenId='87123232-c5ad-4372-b161-bdf969f6eaa8', issuer='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', subject='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', expiry=2534943779311, refreshable=false
2020-05-07 15:03:14,898 [AUDIT] Token created by 'anonymous': tokenId='2e5e03ea-73a6-4a6c-82a5-f3d2ef539036', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-05-07 15:03:15,113 [AUDIT] Token created by 'jffe@000': tokenId='f15e1fcf-27b2-4073-b9ce-595fd93c0df7', issuer='jffe@000', subject='jffe@000', expiry=1588864395101, refreshable=false
2020-05-07 15:08:07,269 [AUDIT] Token created by 'anonymous': tokenId='fcd8975f-e65e-4375-9a26-ad192581063a', issuer='jfrou@01e7gh1vnsmkrfkfs5bjywmka9', subject='jfrou@01e7gh1vnsmkrfkfs5bjywmka9', expiry=none, refreshable=false
2020-05-07 15:08:14,768 [AUDIT] Token created by 'anonymous': tokenId='2f9f9af6-0d6d-43fb-8f32-ee93be55ed31', issuer='jfac@01e7gh1jzpjqf611kj5rvk1nkt', subject='jfac@01e7gh1jzpjqf611kj5rvk1nkt', expiry=1588864214759, refreshable=false
2020-05-07 15:08:15,436 [AUDIT] Token created by 'anonymous': tokenId='ce8d5574-083e-448b-9371-412cd13177c2', issuer='jfmd@01e7gh1za6qz2t4vmqtcnbe4vr', subject='jfmd@01e7gh1za6qz2t4vmqtcnbe4vr', expiry=none, refreshable=false
2020-05-07 15:08:16,113 [AUDIT] Token created by 'anonymous': tokenId='23964c36-29fc-40ea-b6e8-0ef4dd66ff8d', issuer='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', subject='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', expiry=none, refreshable=false
2020-05-07 15:08:19,222 [AUDIT] Token created by 'jfrt@01e7gh2d0pr6jb13k3zmwt0tvb': tokenId='06a39ff9-28bd-4547-9aba-4c95e5192192', issuer='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', subject='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', expiry=2534944099219, refreshable=false
2020-05-07 15:08:31,453 [AUDIT] Token created by 'anonymous': tokenId='4198c836-5618-4659-8ab7-1d8b507d71b8', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-05-07 15:08:31,620 [AUDIT] Token created by 'jffe@000': tokenId='a414b3c7-7f74-41cf-bf98-155ff8c46c87', issuer='jffe@000', subject='jffe@000', expiry=1588864711618, refreshable=false
2020-05-07 15:10:46,314 [AUDIT] Token created by 'anonymous': tokenId='ad852680-c10c-4c38-9da3-3bed2bca6736', issuer='jfrou@01e7gh1vnsmkrfkfs5bjywmka9', subject='jfrou@01e7gh1vnsmkrfkfs5bjywmka9', expiry=none, refreshable=false
2020-05-07 15:10:46,413 [AUDIT] Token revoked by 'anonymous': tokenId='fcd8975f-e65e-4375-9a26-ad192581063a', issuer='jfrou@01e7gh1vnsmkrfkfs5bjywmka9', subject='jfrou@01e7gh1vnsmkrfkfs5bjywmka9', expiry=none, refreshable=false
2020-05-07 15:10:47,621 [AUDIT] Token created by 'anonymous': tokenId='37ce7bac-3356-48ca-9cc8-15001b86eedc', issuer='jfmd@01e7gh1za6qz2t4vmqtcnbe4vr', subject='jfmd@01e7gh1za6qz2t4vmqtcnbe4vr', expiry=none, refreshable=false
2020-05-07 15:10:47,638 [AUDIT] Token revoked by 'anonymous': tokenId='ce8d5574-083e-448b-9371-412cd13177c2', issuer='jfmd@01e7gh1za6qz2t4vmqtcnbe4vr', subject='jfmd@01e7gh1za6qz2t4vmqtcnbe4vr', expiry=none, refreshable=false
2020-05-07 15:10:47,989 [AUDIT] Token created by 'anonymous': tokenId='541f1c34-7da6-4802-8140-ee96d7c27b05', issuer='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', subject='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', expiry=none, refreshable=false
2020-05-07 15:10:47,999 [AUDIT] Token revoked by 'anonymous': tokenId='23964c36-29fc-40ea-b6e8-0ef4dd66ff8d', issuer='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', subject='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', expiry=none, refreshable=false
2020-05-07 15:10:48,193 [AUDIT] Token created by 'anonymous': tokenId='a58a9aa1-9fb1-4a02-b43e-96e759c7daae', issuer='jfac@01e7gh1jzpjqf611kj5rvk1nkt', subject='jfac@01e7gh1jzpjqf611kj5rvk1nkt', expiry=1588864368184, refreshable=false
2020-05-07 15:10:49,743 [AUDIT] Token created by 'jfrt@01e7gh2d0pr6jb13k3zmwt0tvb': tokenId='f13e51d0-ecc7-4b76-bb06-035993b9a4e8', issuer='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', subject='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', expiry=2534944249741, refreshable=false
2020-05-07 15:10:57,604 [AUDIT] Token created by 'anonymous': tokenId='a3eec412-8721-4f7a-ac71-97caa084076c', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-05-07 15:10:57,624 [AUDIT] Token revoked by 'anonymous': tokenId='4198c836-5618-4659-8ab7-1d8b507d71b8', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
